
 STRATEGY REPORT:
Total positive trades: 67 (12934.250000 points); Total negative trades: 56 (-8443.830000 points);
 Net loss/profit: 4490.420000

 Trade no: 27; Direction: long; Entry date: 12/06/2020 09:00:00 CEST; Entry closing price: 11973.950000; Exit date: 16/06/2020 10:00:00 CEST; Exit closing price: 12214.990000; Loss/profit: 241.040000; Current p&l: 1610.610000
 Trade no: 28; Direction: short; Entry date: 15/07/2020 13:00:00 CEST; Entry closing price: 12920.800000; Exit date: 17/07/2020 14:00:00 CEST; Exit closing price: 12909.990000; Loss/profit: 10.810000; Current p&l: 1621.420000
 Trade no: 29; Direction: long; Entry date: 30/07/2020 13:00:00 CEST; Entry closing price: 12522.690000; Exit date: 03/08/2020 14:00:00 CEST; Exit closing price: 12602.400000; Loss/profit: 79.710000; Current p&l: 1701.130000
 Trade no: 30; Direction: short; Entry date: 12/08/2020 17:00:00 CEST; Entry closing price: 13058.630000; Exit date: 14/08/2020 11:00:00 CEST; Exit closing price: 12847.320000; Loss/profit: 211.310000; Current p&l: 1912.440000
 Trade no: 31; Direction: long; Entry date: 21/08/2020 15:00:00 CEST; Entry closing price: 12752.220000; Exit date: 24/08/2020 12:00:00 CEST; Exit closing price: 13068.260000; Loss/profit: 316.040000; Current p&l: 2228.480000
 Trade no: 32; Direction: short; Entry date: 25/08/2020 13:00:00 CEST; Entry closing price: 13148.450000; Exit date: 27/08/2020 14:00:00 CEST; Exit closing price: 13160.340000; Loss/profit: -11.890000; Current p&l: 2246.260000
 Trade no: 33; Direction: short; Entry date: 27/08/2020 09:00:00 CEST; Entry closing price: 13190.010000; Exit date: 28/08/2020 10:00:00 CEST; Exit closing price: 13064.130000; Loss/profit: 125.880000; Current p&l: 2342.470000
 Trade no: 34; Direction: long; Entry date: 01/09/2020 16:00:00 CEST; Entry closing price: 12955.640000; Exit date: 02/09/2020 12:00:00 CEST; Exit closing price: 13266.880000; Loss/profit: 311.240000; Current p&l: 2653.710000
 Trade no: 35; Direction: short; Entry date: 16/09/2020 12:00:00 CEST; Entry closing price: 13228.200000; Exit date: 17/09/2020 10:00:00 CEST; Exit closing price: 13152.910000; Loss/profit: 75.290000; Current p&l: 2729.000000
 Trade no: 36; Direction: long; Entry date: 23/09/2020 09:00:00 CEST; Entry closing price: 12777.660000; Exit date: 25/09/2020 10:00:00 CEST; Exit closing price: 12558.750000; Loss/profit: -218.910000; Current p&l: 2510.090000
 Trade no: 37; Direction: long; Entry date: 25/09/2020 13:00:00 CEST; Entry closing price: 12420.750000; Exit date: 28/09/2020 10:00:00 CEST; Exit closing price: 12741.630000; Loss/profit: 320.880000; Current p&l: 2830.970000
 Trade no: 38; Direction: short; Entry date: 08/10/2020 16:00:00 CEST; Entry closing price: 13067.590000; Exit date: 12/10/2020 17:00:00 CEST; Exit closing price: 13138.410000; Loss/profit: -70.820000; Current p&l: 2717.880000
 Trade no: 39; Direction: short; Entry date: 12/10/2020 15:00:00 CEST; Entry closing price: 13096.140000; Exit date: 13/10/2020 16:00:00 CEST; Exit closing price: 12992.740000; Loss/profit: 103.400000; Current p&l: 2863.550000
 Trade no: 40; Direction: long; Entry date: 26/10/2020 11:00:00 CET; Entry closing price: 12366.980000; Exit date: 28/10/2020 09:00:00 CET; Exit closing price: 11735.860000; Loss/profit: -631.120000; Current p&l: 2232.430000
 Trade no: 41; Direction: long; Entry date: 28/10/2020 14:00:00 CET; Entry closing price: 11621.990000; Exit date: 30/10/2020 15:00:00 CET; Exit closing price: 11463.870000; Loss/profit: -158.120000; Current p&l: 2074.310000
 Trade no: 42; Direction: short; Entry date: 05/11/2020 13:00:00 CET; Entry closing price: 12529.260000; Exit date: 09/11/2020 12:00:00 CET; Exit closing price: 13113.700000; Loss/profit: -584.440000; Current p&l: 1489.870000
 Trade no: 43; Direction: short; Entry date: 09/11/2020 15:00:00 CET; Entry closing price: 13161.700000; Exit date: 11/11/2020 16:00:00 CET; Exit closing price: 13229.270000; Loss/profit: -67.570000; Current p&l: 1422.300000
 Trade no: 44; Direction: short; Entry date: 27/11/2020 17:00:00 CET; Entry closing price: 13335.680000; Exit date: 02/12/2020 09:00:00 CET; Exit closing price: 13325.880000; Loss/profit: 9.800000; Current p&l: 1432.100000
 Trade no: 45; Direction: long; Entry date: 07/12/2020 10:00:00 CET; Entry closing price: 13233.350000; Exit date: 09/12/2020 11:00:00 CET; Exit closing price: 13417.540000; Loss/profit: 184.190000; Current p&l: 1616.290000
 Trade no: 46; Direction: short; Entry date: 29/12/2020 10:00:00 CET; Entry closing price: 13845.760000; Exit date: 30/12/2020 15:00:00 CET; Exit closing price: 13718.780000; Loss/profit: 126.980000; Current p&l: 1743.270000
 Trade no: 47; Direction: short; Entry date: 08/01/2021 10:00:00 CET; Entry closing price: 14073.240000; Exit date: 11/01/2021 15:00:00 CET; Exit closing price: 13911.610000; Loss/profit: 161.630000; Current p&l: 1904.900000
 Trade no: 48; Direction: short; Entry date: 20/01/2021 12:00:00 CET; Entry closing price: 13884.390000; Exit date: 22/01/2021 12:00:00 CET; Exit closing price: 13787.770000; Loss/profit: 96.620000; Current p&l: 2001.520000
 Trade no: 49; Direction: long; Entry date: 27/01/2021 16:00:00 CET; Entry closing price: 13648.190000; Exit date: 29/01/2021 17:00:00 CET; Exit closing price: 13432.870000; Loss/profit: -215.320000; Current p&l: 1786.200000
