
 STRATEGY REPORT:
Total positive trades: 26 (7695.540000 points); Total negative trades: 30 (-7255.630000 points);
 Net loss/profit: 439.910000

 Trade no: 27; Direction: short; Entry date: 19/11/2013 00:00:00 CET; Entry closing price: 9193.290000; Exit date: 16/12/2013 00:00:00 CET; Exit closing price: 9163.560000; Loss/profit: 29.730000; Current p&l: -1937.440000
 Trade no: 28; Direction: long; Entry date: 06/02/2014 00:00:00 CET; Entry closing price: 9256.580000; Exit date: 12/02/2014 00:00:00 CET; Exit closing price: 9540.000000; Loss/profit: 283.420000; Current p&l: -1654.020000
 Trade no: 29; Direction: short; Entry date: 14/05/2014 00:00:00 CEST; Entry closing price: 9754.390000; Exit date: 09/06/2014 00:00:00 CEST; Exit closing price: 10008.630000; Loss/profit: -254.240000; Current p&l: -1908.260000
 Trade no: 30; Direction: long; Entry date: 05/08/2014 00:00:00 CEST; Entry closing price: 9189.740000; Exit date: 25/08/2014 00:00:00 CEST; Exit closing price: 9510.140000; Loss/profit: 320.400000; Current p&l: -1587.860000
 Trade no: 31; Direction: short; Entry date: 17/03/2015 00:00:00 CET; Entry closing price: 11980.850000; Exit date: 10/04/2015 00:00:00 CEST; Exit closing price: 12374.730000; Loss/profit: -393.880000; Current p&l: -1981.740000
 Trade no: 32; Direction: short; Entry date: 13/04/2015 00:00:00 CEST; Entry closing price: 12338.730000; Exit date: 16/04/2015 00:00:00 CEST; Exit closing price: 11998.860000; Loss/profit: 339.870000; Current p&l: -1641.870000
 Trade no: 33; Direction: short; Entry date: 23/11/2015 00:00:00 CET; Entry closing price: 11092.310000; Exit date: 30/11/2015 00:00:00 CET; Exit closing price: 11382.230000; Loss/profit: -289.920000; Current p&l: -1931.790000
 Trade no: 34; Direction: long; Entry date: 10/02/2016 00:00:00 CET; Entry closing price: 9017.290000; Exit date: 11/02/2016 00:00:00 CET; Exit closing price: 8752.870000; Loss/profit: -264.420000; Current p&l: -2196.210000
 Trade no: 35; Direction: short; Entry date: 15/04/2016 00:00:00 CEST; Entry closing price: 10051.570000; Exit date: 19/04/2016 00:00:00 CEST; Exit closing price: 10349.590000; Loss/profit: -298.020000; Current p&l: -2494.230000
 Trade no: 36; Direction: short; Entry date: 10/08/2016 00:00:00 CEST; Entry closing price: 10650.890000; Exit date: 06/09/2016 00:00:00 CEST; Exit closing price: 10687.140000; Loss/profit: -36.250000; Current p&l: -2530.480000
