
 STRATEGY REPORT:
Total positive trades: 37 (6508.380000 points); Total negative trades: 31 (-7440.040000 points);
 Net loss/profit: -931.660000

 Trade no: 27; Direction: long; Entry date: 04/12/2020 13:00:00 CET; Entry closing price: 13246.610000; Exit date: 08/12/2020 14:00:00 CET; Exit closing price: 13248.760000; Loss/profit: 2.150000; Current p&l: -2385.840000
 Trade no: 28; Direction: short; Entry date: 18/12/2020 10:00:00 CET; Entry closing price: 13698.410000; Exit date: 21/12/2020 10:00:00 CET; Exit closing price: 13263.300000; Loss/profit: 435.110000; Current p&l: -1535.260000
 Trade no: 29; Direction: short; Entry date: 18/12/2020 15:00:00 CET; Entry closing price: 13678.770000; Exit date: 21/12/2020 10:00:00 CET; Exit closing price: 13263.300000; Loss/profit: 415.470000; Current p&l: -1535.260000
 Trade no: 30; Direction: short; Entry date: 08/02/2021 15:00:00 CET; Entry closing price: 14128.420000; Exit date: 09/02/2021 11:00:00 CET; Exit closing price: 13983.080000; Loss/profit: 145.340000; Current p&l: -1389.920000
 Trade no: 31; Direction: long; Entry date: 18/02/2021 17:00:00 CET; Entry closing price: 13886.930000; Exit date: 23/02/2021 09:00:00 CET; Exit closing price: 13857.880000; Loss/profit: -29.050000; Current p&l: -1418.970000
 Trade no: 32; Direction: short; Entry date: 11/05/2021 09:00:00 CEST; Entry closing price: 15141.400000; Exit date: 11/05/2021 12:00:00 CEST; Exit closing price: 15047.750000; Loss/profit: 93.650000; Current p&l: -1325.320000
 Trade no: 33; Direction: short; Entry date: 18/05/2021 10:00:00 CEST; Entry closing price: 15441.810000; Exit date: 19/05/2021 11:00:00 CEST; Exit closing price: 15179.520000; Loss/profit: 262.290000; Current p&l: -1063.030000
 Trade no: 34; Direction: short; Entry date: 14/07/2021 17:00:00 CEST; Entry closing price: 15788.980000; Exit date: 15/07/2021 10:00:00 CEST; Exit closing price: 15702.430000; Loss/profit: 86.550000; Current p&l: -976.480000
 Trade no: 35; Direction: short; Entry date: 24/08/2021 17:00:00 CEST; Entry closing price: 15905.850000; Exit date: 26/08/2021 12:00:00 CEST; Exit closing price: 15770.530000; Loss/profit: 135.320000; Current p&l: -841.160000
 Trade no: 36; Direction: short; Entry date: 05/11/2021 12:00:00 CET; Entry closing price: 16045.550000; Exit date: 09/11/2021 13:00:00 CET; Exit closing price: 16080.870000; Loss/profit: -35.320000; Current p&l: -876.480000
