
Strategy code:
	NIKKEI_S2_daily_longDiv
DataContract:
	Nikkei 225
Backtesting dates:
	12/03/2004 00:00:00 CEST- 08/09/2023 00:00:00 CEST
Indicator settings: 
	RSI: time-period: 14
	Long Divergence with minimum, maximum divergence periods: 1, 18
	Bollinger Bands: stDevUp, stDevDown, moving average time-period: (2.000000, 2.000000, 14)
Entry conditions: 
	Double divergence
Exit conditions:
	Opposite Long divergence
	Bollinger crossing with condition: Cross middle band in profit
	Trades closed after 18 bars if negative
	Fixed Take profit, stop loss: 4.000000, 3.000000

 STRATEGY REPORT:
Total positive trades: 20 (10715.070000 points); Total negative trades: 15 (-6446.240000 points);
 Net loss/profit: 4268.830000

 Trade no: 25; Direction: long; Entry date: 09/02/2017 23:00:00 CET; Entry closing price: 19378.930000; Exit date: 08/03/2017 23:00:00 CET; Exit closing price: 19318.580000; Loss/profit: -60.350000; Current p&l: 1459.110000
 Trade no: 26; Direction: short; Entry date: 25/12/2017 23:00:00 CET; Entry closing price: 22892.690000; Exit date: 04/01/2018 23:00:00 CET; Exit closing price: 23714.530000; Loss/profit: -821.840000; Current p&l: 637.270000
 Trade no: 27; Direction: short; Entry date: 23/01/2018 23:00:00 CET; Entry closing price: 23940.780000; Exit date: 04/02/2018 23:00:00 CET; Exit closing price: 22682.080000; Loss/profit: 1258.700000; Current p&l: 1895.970000
 Trade no: 28; Direction: long; Entry date: 16/08/2019 00:00:00 CEST; Entry closing price: 20418.810000; Exit date: 09/09/2019 00:00:00 CEST; Exit closing price: 21318.420000; Loss/profit: 899.610000; Current p&l: 3657.920000
 Trade no: 29; Direction: long; Entry date: 27/08/2019 00:00:00 CEST; Entry closing price: 20456.080000; Exit date: 09/09/2019 00:00:00 CEST; Exit closing price: 21318.420000; Loss/profit: 862.340000; Current p&l: 3657.920000
 Trade no: 30; Direction: short; Entry date: 14/07/2020 00:00:00 CEST; Entry closing price: 22587.010000; Exit date: 04/08/2020 00:00:00 CEST; Exit closing price: 22573.660000; Loss/profit: 13.350000; Current p&l: 3671.270000
 Trade no: 31; Direction: short; Entry date: 03/12/2020 23:00:00 CET; Entry closing price: 26751.240000; Exit date: 23/12/2020 23:00:00 CET; Exit closing price: 26668.350000; Loss/profit: 82.890000; Current p&l: 3842.050000
 Trade no: 32; Direction: short; Entry date: 09/12/2020 23:00:00 CET; Entry closing price: 26756.240000; Exit date: 23/12/2020 23:00:00 CET; Exit closing price: 26668.350000; Loss/profit: 87.890000; Current p&l: 3842.050000
 Trade no: 33; Direction: short; Entry date: 25/01/2021 23:00:00 CET; Entry closing price: 28546.180000; Exit date: 08/02/2021 23:00:00 CET; Exit closing price: 29505.930000; Loss/profit: -959.750000; Current p&l: 2882.300000
 Trade no: 34; Direction: short; Entry date: 18/03/2021 23:00:00 CET; Entry closing price: 29792.050000; Exit date: 23/03/2021 23:00:00 CET; Exit closing price: 28405.520000; Loss/profit: 1386.530000; Current p&l: 4268.830000
